study_id,composition,dopant_family,Cu_stoichiometry,zT_350C,zT_max,zT_max_temp_C,zT_max_temp_K,seebeck_350C_uVK,seebeck_at_zTmax_uVK,conductivity_350C_1e4Sm,conductivity_at_zTmax_1e4Sm,thermal_conductivity_350C_WmK,thermal_conductivity_at_zTmax_WmK,carrier_concentration_cm3,synthesis,compaction,sintering_type,sintering_temp_K,sintering_temp_C,relative_density_pct,density_g_cm3,theoretical_density_g_cm3,density_reference,remarks,citation
Weller 2017 ZnNi,Cu10 Ni2 Sb4 S13,Ni,10.0,0.6,0.66,400.0,673.0,240.0,255.0,0.97,0.83,0.58,0.52,,steel jar. 300rpm 48h,SPS 340C 10min 40MPA,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.273"
Lu 2015,Cu10.5 Ni Zn0.5 Sb4 S13,Ni+Zn,10.5,0.84,1.03,450.0,723.0,200.0,210.0,2.05,1.84,0.58,0.58,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (1 week)+ HP 80MPa 723 K (30min),HP,723.0,,98.0,,,,Secondary phases,"Lu, X., Morelli, D. T., Xia, Y., & Ozolins, V. (2015). Increasing the thermoelectric figure of merit of tetrahedrites by Co-doping with nickel and zinc. Chemistry of Materials, 27(2), 408–413. https://doi.org/10.1021/cm502570b"
Lu 2015,Cu10.5 Ni1.3 Zn0.2 Sb4 S13,Ni+Zn,10.5,0.78,0.99,450.0,723.0,188.0,200.0,2.43,2.3,0.7,0.73,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (1 week)+ HP 80MPa 723 K (30min),HP,723.0,,98.0,,,,Secondary phases,"Lu, X., Morelli, D. T., Xia, Y., & Ozolins, V. (2015). Increasing the thermoelectric figure of merit of tetrahedrites by Co-doping with nickel and zinc. Chemistry of Materials, 27(2), 408–413. https://doi.org/10.1021/cm502570b"
Lu 2015,Cu10.5 Ni0.5 Zn Sb4 S13,Ni+Zn,10.5,0.62,0.81,450.0,723.0,220.0,233.0,1.06,1.03,0.5,0.49,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (1 week)+ HP 80MPa 723 K (30min),HP,723.0,,98.0,,,,Secondary phases,"Lu, X., Morelli, D. T., Xia, Y., & Ozolins, V. (2015). Increasing the thermoelectric figure of merit of tetrahedrites by Co-doping with nickel and zinc. Chemistry of Materials, 27(2), 408–413. https://doi.org/10.1021/cm502570b"
Battiston 2017,Cu10.5 Ni Zn0.5 Sb4 S13,Ni+Zn,10.5,0.44,0.48,400.0,673.0,321.0,321.0,0.25,0.25,0.4,0.395,,Precursors BM + 15wt% excess Ni3S2. 350 rpm (3h) in hexane,743 K (5min),ODP,743.0,,91.0,,,,,Battiston. S.. Fanciulli. C.. Fiameni. S.. Famengo. A.. Fasolin. S.. & Fabrizio. M. (2017). One step synthesis and sintering of Ni and Zn substituted tetrahedrite as thermoelectric material. Journal of Alloys and Compounds. 702. 75–83. https://doi.org/10.1016/j.jallcom.2017.01.187
Battiston 2017,Cu10.2 Ni Zn0.7 Sb4 S13,Ni+Zn,10.3,0.32,0.37,400.0,673.0,320.0,315.0,0.16,0.16,0.385,0.38,,Precursors BM + 15wt% excess Ni3S2. 350 rpm (3h) in hexane,743 K (5min),ODP,743.0,,90.0,,,,,Battiston. S.. Fanciulli. C.. Fiameni. S.. Famengo. A.. Fasolin. S.. & Fabrizio. M. (2017). One step synthesis and sintering of Ni and Zn substituted tetrahedrite as thermoelectric material. Journal of Alloys and Compounds. 702. 75–83. https://doi.org/10.1016/j.jallcom.2017.01.187
Weller 2017 ZnNi,Cu10 Ni0.5 Zn1.5 Sb4 S13,Ni+Zn,10.0,0.39,0.45,400.0,673.0,275.0,280.0,0.35,0.35,0.485,0.47,,steel jar. 1080rpm 1h,SPS 340C 30min 40MPa,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.272"
Weller 2017 ZnNi,Cu10 Ni1 Zn1 Sb4 S13,Ni+Zn,10.0,0.45,0.56,400.0,673.0,200.0,216.0,1.1,1.1,0.63,0.61,,steel jar. 1080rpm 1h,SPS 340C 30min 40MPa,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.272"
Weller 2017 ZnNi,Cu10 Ni1.5 Zn0.5 Sb4 S13,Ni+Zn,10.0,0.51,0.57,400.0,673.0,215.0,220.0,1.25,1.18,0.675,0.675,,steel jar. 1080rpm 1h,SPS 340C 30min 40MPa,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.272"
Weller 2017 ZnNi,Cu10 Ni0.5 Zn1.5 Sb4 S13,Ni+Zn,10.0,0.34,0.43,400.0,673.0,320.0,322.0,0.22,0.217,0.41,0.33,,steel jar. 300rpm 48h,SPS 340C 10min 40MPA,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.273"
Weller 2017 ZnNi,Cu10 Ni1 Zn1 Sb4 S13,Ni+Zn,10.0,0.52,0.63,400.0,673.0,250.0,260.0,0.66,0.59,0.5,0.46,,steel jar. 300rpm 48h,SPS 340C 10min 40MPA,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.274"
Weller 2017 ZnNi,Cu10 Ni1.5 Zn0.5 Sb4 S13,Ni+Zn,10.0,0.55,0.61,400.0,673.0,220.0,225.0,1.1,1.1,0.58,0.53,,steel jar. 300rpm 48h,SPS 340C 10min 40MPA,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.275"
Tippireddy 2018,Cu11Zn,Zn,11.0,0.63,0.71,400.0,673.0,202.07,215.0,2.0,,0.77,,,quartz ampule. 973K 3h,Annealing: 773K 30h + HP 30MPa at 823K 2h,HP,823.0,,90.0,,,,,Tippireddy. S.. Chetty. R.. Naik. M. H.. Jain. M.. Chattopadhyay. K.. & Mallik. R. C. (2018). Electronic and Thermoelectric Properties of Transition Metal Substituted Tetrahedrites. Journal of Physical Chemistry C. 122(16). 8735–8749. https://doi.org/10.1021/acs.jpcc.7b12214
Suekuni 2012,Cu10 Zn2,Zn,10.0,,0.03,67.0,340.0,,,,,,,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h),CP,773.0,,,,,,,Suekuni. K.. Tsuruta. K.. Ariga. T.. & Koyano. M. (2012). Thermoelectric properties of mineral tetrahedrites Cu 10Tr 2Sb 4S 13 with low thermal conductivity. Applied Physics Express. 5(5). https://doi.org/10.1143/APEX.5.051201
Lu 2013,Cu11.5 Zn0.5,Zn,11.5,0.6,1.0,450.0,720.0,137.01,160.0,6.0,5.56,1.2,1.06,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (1 week)+ HP 80MPa 723 K (30min),HP,723.0,,98.0,,,,,Lu. X.. Morelli. D. T.. Xia. Y.. Zhou. F.. Ozolins. V.. Chi. H.. Zhou. X.. & Uher. C. (2013). High performance thermoelectricity in earth-abundant compounds based on natural mineral tetrahedrites. Advanced Energy Materials. 3(3). 342–348. https://doi.org/10.1002/aenm.201200650
Lu 2013,Cu11 Zn,Zn,11.0,0.7,0.78,400.0,720.0,182.0,188.0,3.13,2.86,0.88,0.85,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (1 week)+ HP 80MPa 723 K (30min),HP,723.0,,98.0,,,,,Lu. X.. Morelli. D. T.. Xia. Y.. Zhou. F.. Ozolins. V.. Chi. H.. Zhou. X.. & Uher. C. (2013). High performance thermoelectricity in earth-abundant compounds based on natural mineral tetrahedrites. Advanced Energy Materials. 3(3). 342–348. https://doi.org/10.1002/aenm.201200650
Lu 2013,Cu10.5 Zn1.5,Zn,10.5,0.53,0.6,400.0,673.0,246.0,245.0,0.81,0.83,0.57,0.57,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (1 week)+ HP 80MPa 723 K (30min),HP,723.0,,98.0,,,,,Lu. X.. Morelli. D. T.. Xia. Y.. Zhou. F.. Ozolins. V.. Chi. H.. Zhou. X.. & Uher. C. (2013). High performance thermoelectricity in earth-abundant compounds based on natural mineral tetrahedrites. Advanced Energy Materials. 3(3). 342–348. https://doi.org/10.1002/aenm.201200650
Kwak 2019,Cu11.6 Zn0.4,Zn,11.6,0.6,0.76,450.0,723.0,207.0,215.0,1.65,1.75,0.67,0.67,,Steel jar. 350rpm 24h,HP 723K 70Mp 2h,HP,723.0,,97.0,,,,,"Kwak, S.-G., Lee, G.-E., & Kim, I.-H. (2019). Electronic Transport and Thermoelectric Properties of Cu 12-x Zn x Sb 4 S 13 Tetrahedrites Prepared by Mechanical Alloying and Hot Pressing. Korean J. Met. Mater.), 57(5), 1–6. https://doi.org/10.3365/KJMM.2019.57.5.1"
Kwak 2019,Cu11.2 Zn0.8,Zn,11.2,0.48,0.61,450.0,723.0,223.0,227.0,0.98,1.1,0.69,0.67,,Steel jar. 350rpm 24h,HP 723K 70Mp 2h,HP,723.0,,99.0,,,,,"Kwak, S.-G., Lee, G.-E., & Kim, I.-H. (2019). Electronic Transport and Thermoelectric Properties of Cu 12-x Zn x Sb 4 S 13 Tetrahedrites Prepared by Mechanical Alloying and Hot Pressing. Korean J. Met. Mater.), 57(5), 1–6. https://doi.org/10.3365/KJMM.2019.57.5.1"
Kwak 2019,Cu10.8 Zn1.2,Zn,10.8,0.31,0.42,450.0,723.0,303.0,298.0,0.35,0.45,0.525,0.535,,Steel jar. 350rpm 24h,HP 723K 70Mp 2h,HP,723.0,,99.0,,,,,"Kwak, S.-G., Lee, G.-E., & Kim, I.-H. (2019). Electronic Transport and Thermoelectric Properties of Cu 12-x Zn x Sb 4 S 13 Tetrahedrites Prepared by Mechanical Alloying and Hot Pressing. Korean J. Met. Mater.), 57(5), 1–6. https://doi.org/10.3365/KJMM.2019.57.5.1"
Heo 2014,Cu10 Zn2,Zn,10.0,,0.01,302.0,575.0,,,,0.0062,,0.24,,quartz tube.  723 K (3weeks). BM(5min),HP 723 K (2h) 10 Mpa (density is 85%),HP,723.0,,88.0,,,,,Heo. J.. Laurita. G.. Muir. S.. Subramanian. M. A.. & Keszler. D. A. (2014). Enhanced thermoelectric performance of synthetic tetrahedrites. Chemistry of Materials. 26(6). 2047–2051. https://doi.org/10.1021/cm404026k
Morelli 2020,Cu10.5Zn1.5,Zn,10.5,0.62,0.7,400.0,,246.2,247.42,0.7936507936507936,0.819672131147541,0.48,0.48,,quartz ampoule.  923K. 12h,CP 723K 2 weeks + BM(30min) +HP 80MPa 30min 723K,HP,723.0,,98.0,,,,,Morelli. (2009). United States Patent ( Continued ) ( 71 ) Applicant : BOARD OF TRUSTEES OF. https://doi.org/10.1002/aenm.201200650/abstract
Morelli 2020,Cu11Zn,Zn,11.0,0.81,0.91,400.0,,184.65,188.72,2.941176470588235,2.7777777777777772,0.75,0.74,,quartz ampoule.  923K. 12h,CP 723K 2 weeks + BM(30min) +HP 80MPa 30min 723K,HP,723.0,,98.0,,,,,Morelli. (2009). United States Patent ( Continued ) ( 71 ) Applicant : BOARD OF TRUSTEES OF. https://doi.org/10.1002/aenm.201200650/abstract
Morelli 2020,Cu11.5Zn0.5,Zn,11.5,0.8,0.9,400.0,,154.08,163.86,5.0,4.761904761904763,0.95,0.96,,quartz ampoule.  923K. 12h,CP 723K 2 weeks + BM(30min) +HP 80MPa 30min 723K,HP,723.0,,98.0,,,,,Morelli. (2009). United States Patent ( Continued ) ( 71 ) Applicant : BOARD OF TRUSTEES OF. https://doi.org/10.1002/aenm.201200650/abstract
Zhu 2019,Cu11.075Zn0.025Sb4S12.8Se0.2,Se+Zn,11.975,0.54,0.9,450.0,,122.0,152.0,9.0,6.5,1.41,1.3,,quartz ampoule. 923K 12h,CP + annealing : 723K (1 week) + HP 673K 1h 250MPa,HP,673.0,,97.0,,,,,"Zhu, C., Ming, H., Huang, L., Zhang, B., Lou, X., Li, D., Jabar, B., Xin, H., Zhang, J., & Qin, X. (2019). Achieving high power factor and thermoelectric performance through dual substitution of Zn and Se in tetrahedrites Cu12Sb4S13. Applied Physics Letters, 115(18). https://doi.org/10.1063/1.5119402"
Zhu 2019,Cu11.95Zn0.05Sb4S12.8Se0.2,Se+Zn,11.95,0.65,0.87,450.0,,135.0,162.0,8.0,5.5,1.34,1.3,,quartz ampoule. 923K 12h,CP + annealing : 723K (1 week) + HP 673K 1h 250MPa,HP,674.0,,96.0,,,,,"Zhu, C., Ming, H., Huang, L., Zhang, B., Lou, X., Li, D., Jabar, B., Xin, H., Zhang, J., & Qin, X. (2019). Achieving high power factor and thermoelectric performance through dual substitution of Zn and Se in tetrahedrites Cu12Sb4S13. Applied Physics Letters, 115(18). https://doi.org/10.1063/1.5119405"
Zhu 2019,Cu11.025Zn0.075Sb4S12.8Se0.2,Se+Zn,11.925,0.63,0.69,450.0,,130.0,150.0,7.5,5.5,1.37,1.3,,quartz ampoule. 923K 12h,CP + annealing : 723K (1 week) + HP 673K 1h 250MPa,HP,675.0,,96.0,,,,,"Zhu, C., Ming, H., Huang, L., Zhang, B., Lou, X., Li, D., Jabar, B., Xin, H., Zhang, J., & Qin, X. (2019). Achieving high power factor and thermoelectric performance through dual substitution of Zn and Se in tetrahedrites Cu12Sb4S13. Applied Physics Letters, 115(18). https://doi.org/10.1063/1.5119408"
Zhu 2019,Cu11.9Zn0.1Sb4S12.8Se0.2,Se+Zn,11.9,0.49,0.66,450.0,,120.0,125.0,7.6,5.6,1.38,1.3,,quartz ampoule. 923K 12h,CP + annealing : 723K (1 week) + HP 673K 1h 250MPa,HP,676.0,,97.0,,,,,"Zhu, C., Ming, H., Huang, L., Zhang, B., Lou, X., Li, D., Jabar, B., Xin, H., Zhang, J., & Qin, X. (2019). Achieving high power factor and thermoelectric performance through dual substitution of Zn and Se in tetrahedrites Cu12Sb4S13. Applied Physics Letters, 115(18). https://doi.org/10.1063/1.5119411"
Pi 2020,Cu11ZnSb4S13,Zn,11.0,0.24,0.36,450.0,723.0,305.0,296.0,0.2,0.2993,0.48,0.51,,MA 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,98.0,,,,,"Pi, J. H., Lee, G. E., & Kim, I. H. (2020). Thermal Stability, Mechanical Properties and Thermoelectric Performance of Cu11TrSb4S13 (Tr = Mn, Fe, Co, Ni, Cu, and Zn). Journal of Electronic Materials, 49(5), 2710–2718. https://doi.org/10.1007/s11664-019-07570-3"
Lee 2020,Cu11.9Zn0.1Sb3.9Bi0.1S13,Bi+Zn,11.9,0.55,0.78,450.0,,177.0,185.0,2.5,2.4,0.87,0.78,1.1200000000000002e+19,MA steel jar 350rpm 24h,HP 723K 70MPa 2h,HP,723.0,,99.0,,,,,"@article{Lee2020, abstract = {Synthetic tetrahedrite (Cu12Sb4S13) is considered a promising p-type thermoelectric material owing to its intrinsically low thermal conductivity, relative nontoxicity, and presence of light elements Cu and S. Since Cu12Sb4S13 has a high carrier (hole) concentration, its power factor can be optimized by decreasing the carrier concentration via doping. In this study, Zn doping is performed to optimize the power factor by reducing the carrier concentration, and Bi doping is performed to reduce the lattice thermal conductivity through additional phonon scattering by atomic mass fluctuation and lattice distortion. Cu12−xZnxSb4−ySbyS13 tetrahedrites (0.1 ≤ x ≤ 0.4 and 0.1 ≤ y ≤ 0.4) were prepared using mechanical alloying and hot pressing, and the effects of double doping of Zn and Bi on the charge transport and thermoelectric properties were examined. X-ray diffraction analysis revealed the successful formation of the tetrahedrite phase, but a small amount of skinnerite phase (Cu3SbS3) was produced with an increase in the Bi content. The lattice constant increased with an increase in Zn and Bi doping contents, as the ionic radii of Zn and Bi were larger than those of Cu and Sb, respectively. With an increase in the Zn content and a decrease in the Bi content, the carrier concentration decreased. Consequently, the electrical conductivity decreased, whereas the Seebeck coefficient increased. The decline in the electrical conductivity with Zn doping dominated the increase in the Seebeck coefficient, which in turn reduced the power factor. However, the power factor did not change significantly with a change in the Bi content. The lattice thermal conductivity was close to the theoretical minimum value in tetrahedrite upon substituting with Zn and Bi, and thus, the thermal conductivities of all the specimens were less than 0.94 Wm−1 K−1 at temperatures ranging from 323 to 723 K. Consequently, the dimensionless figure of merit, ZT = 0.77, was obtained for Cu11.9Zn0.1Sb3.9Bi0.1S13 at 723 K, which was attributed to a relatively high power factor (0.83 mWm−1 K−2) and low thermal conductivity (0.76 Wm−1 K−1).}, author = {Go Eun Lee and Il Ho Kim}, doi = {10.1007/s11664-019-07717-2}, issn = {1543186X}, issue = {5}, journal = {Journal of Electronic Materials}, keywords = {Thermoelectric,double doping,hot pressing,mechanical alloying,tetrahedrite}, month = {5}, pages = {2768-2774}, publisher = {Springer}, title = {Effects of Zn/Bi Double Doping on the Charge Transport and Thermoelectric Properties of Tetrahedrites Cu12−xZnxSb4−yBiyS13}, volume = {49}, year = {2020} }"
Lee 2020,Cu11.9Zn0.1Sb3.8Bi0.2S13,Bi+Zn,11.9,0.51,0.73,450.0,,160.0,175.0,2.9,2.8,0.97,0.82,1.3e+19,MA steel jar 350rpm 24h,HP 723K 70MPa 2h,HP,723.0,,99.0,,,,,"@article{Lee2020, abstract = {Synthetic tetrahedrite (Cu12Sb4S13) is considered a promising p-type thermoelectric material owing to its intrinsically low thermal conductivity, relative nontoxicity, and presence of light elements Cu and S. Since Cu12Sb4S13 has a high carrier (hole) concentration, its power factor can be optimized by decreasing the carrier concentration via doping. In this study, Zn doping is performed to optimize the power factor by reducing the carrier concentration, and Bi doping is performed to reduce the lattice thermal conductivity through additional phonon scattering by atomic mass fluctuation and lattice distortion. Cu12−xZnxSb4−ySbyS13 tetrahedrites (0.1 ≤ x ≤ 0.4 and 0.1 ≤ y ≤ 0.4) were prepared using mechanical alloying and hot pressing, and the effects of double doping of Zn and Bi on the charge transport and thermoelectric properties were examined. X-ray diffraction analysis revealed the successful formation of the tetrahedrite phase, but a small amount of skinnerite phase (Cu3SbS3) was produced with an increase in the Bi content. The lattice constant increased with an increase in Zn and Bi doping contents, as the ionic radii of Zn and Bi were larger than those of Cu and Sb, respectively. With an increase in the Zn content and a decrease in the Bi content, the carrier concentration decreased. Consequently, the electrical conductivity decreased, whereas the Seebeck coefficient increased. The decline in the electrical conductivity with Zn doping dominated the increase in the Seebeck coefficient, which in turn reduced the power factor. However, the power factor did not change significantly with a change in the Bi content. The lattice thermal conductivity was close to the theoretical minimum value in tetrahedrite upon substituting with Zn and Bi, and thus, the thermal conductivities of all the specimens were less than 0.94 Wm−1 K−1 at temperatures ranging from 323 to 723 K. Consequently, the dimensionless figure of merit, ZT = 0.77, was obtained for Cu11.9Zn0.1Sb3.9Bi0.1S13 at 723 K, which was attributed to a relatively high power factor (0.83 mWm−1 K−2) and low thermal conductivity (0.76 Wm−1 K−1).}, author = {Go Eun Lee and Il Ho Kim}, doi = {10.1007/s11664-019-07717-2}, issn = {1543186X}, issue = {5}, journal = {Journal of Electronic Materials}, keywords = {Thermoelectric,double doping,hot pressing,mechanical alloying,tetrahedrite}, month = {5}, pages = {2768-2774}, publisher = {Springer}, title = {Effects of Zn/Bi Double Doping on the Charge Transport and Thermoelectric Properties of Tetrahedrites Cu12−xZnxSb4−yBiyS13}, volume = {49}, year = {2020} }"
Lee 2020,Cu11.8Zn0.2Sb3.8Bi0.2S13,Bi+Zn,11.8,0.5,0.63,450.0,,225.0,256.0,0.9,1.1,0.58,0.6,3.06e+18,MA steel jar 350rpm 24h,HP 723K 70MPa 2h,HP,723.0,,99.0,,,,,"@article{Lee2020, abstract = {Synthetic tetrahedrite (Cu12Sb4S13) is considered a promising p-type thermoelectric material owing to its intrinsically low thermal conductivity, relative nontoxicity, and presence of light elements Cu and S. Since Cu12Sb4S13 has a high carrier (hole) concentration, its power factor can be optimized by decreasing the carrier concentration via doping. In this study, Zn doping is performed to optimize the power factor by reducing the carrier concentration, and Bi doping is performed to reduce the lattice thermal conductivity through additional phonon scattering by atomic mass fluctuation and lattice distortion. Cu12−xZnxSb4−ySbyS13 tetrahedrites (0.1 ≤ x ≤ 0.4 and 0.1 ≤ y ≤ 0.4) were prepared using mechanical alloying and hot pressing, and the effects of double doping of Zn and Bi on the charge transport and thermoelectric properties were examined. X-ray diffraction analysis revealed the successful formation of the tetrahedrite phase, but a small amount of skinnerite phase (Cu3SbS3) was produced with an increase in the Bi content. The lattice constant increased with an increase in Zn and Bi doping contents, as the ionic radii of Zn and Bi were larger than those of Cu and Sb, respectively. With an increase in the Zn content and a decrease in the Bi content, the carrier concentration decreased. Consequently, the electrical conductivity decreased, whereas the Seebeck coefficient increased. The decline in the electrical conductivity with Zn doping dominated the increase in the Seebeck coefficient, which in turn reduced the power factor. However, the power factor did not change significantly with a change in the Bi content. The lattice thermal conductivity was close to the theoretical minimum value in tetrahedrite upon substituting with Zn and Bi, and thus, the thermal conductivities of all the specimens were less than 0.94 Wm−1 K−1 at temperatures ranging from 323 to 723 K. Consequently, the dimensionless figure of merit, ZT = 0.77, was obtained for Cu11.9Zn0.1Sb3.9Bi0.1S13 at 723 K, which was attributed to a relatively high power factor (0.83 mWm−1 K−2) and low thermal conductivity (0.76 Wm−1 K−1).}, author = {Go Eun Lee and Il Ho Kim}, doi = {10.1007/s11664-019-07717-2}, issn = {1543186X}, issue = {5}, journal = {Journal of Electronic Materials}, keywords = {Thermoelectric,double doping,hot pressing,mechanical alloying,tetrahedrite}, month = {5}, pages = {2768-2774}, publisher = {Springer}, title = {Effects of Zn/Bi Double Doping on the Charge Transport and Thermoelectric Properties of Tetrahedrites Cu12−xZnxSb4−yBiyS13}, volume = {49}, year = {2020} }"
Lee 2020,Cu11.8Zn0.2Sb3.6Bi0.4S13,Bi+Zn,11.8,0.42,0.58,450.0,,190.0,210.0,1.2,1.3,0.67,0.61,6.23e+18,MA steel jar 350rpm 24h,HP 723K 70MPa 2h,HP,723.0,,99.0,,,,,"@article{Lee2020, abstract = {Synthetic tetrahedrite (Cu12Sb4S13) is considered a promising p-type thermoelectric material owing to its intrinsically low thermal conductivity, relative nontoxicity, and presence of light elements Cu and S. Since Cu12Sb4S13 has a high carrier (hole) concentration, its power factor can be optimized by decreasing the carrier concentration via doping. In this study, Zn doping is performed to optimize the power factor by reducing the carrier concentration, and Bi doping is performed to reduce the lattice thermal conductivity through additional phonon scattering by atomic mass fluctuation and lattice distortion. Cu12−xZnxSb4−ySbyS13 tetrahedrites (0.1 ≤ x ≤ 0.4 and 0.1 ≤ y ≤ 0.4) were prepared using mechanical alloying and hot pressing, and the effects of double doping of Zn and Bi on the charge transport and thermoelectric properties were examined. X-ray diffraction analysis revealed the successful formation of the tetrahedrite phase, but a small amount of skinnerite phase (Cu3SbS3) was produced with an increase in the Bi content. The lattice constant increased with an increase in Zn and Bi doping contents, as the ionic radii of Zn and Bi were larger than those of Cu and Sb, respectively. With an increase in the Zn content and a decrease in the Bi content, the carrier concentration decreased. Consequently, the electrical conductivity decreased, whereas the Seebeck coefficient increased. The decline in the electrical conductivity with Zn doping dominated the increase in the Seebeck coefficient, which in turn reduced the power factor. However, the power factor did not change significantly with a change in the Bi content. The lattice thermal conductivity was close to the theoretical minimum value in tetrahedrite upon substituting with Zn and Bi, and thus, the thermal conductivities of all the specimens were less than 0.94 Wm−1 K−1 at temperatures ranging from 323 to 723 K. Consequently, the dimensionless figure of merit, ZT = 0.77, was obtained for Cu11.9Zn0.1Sb3.9Bi0.1S13 at 723 K, which was attributed to a relatively high power factor (0.83 mWm−1 K−2) and low thermal conductivity (0.76 Wm−1 K−1).}, author = {Go Eun Lee and Il Ho Kim}, doi = {10.1007/s11664-019-07717-2}, issn = {1543186X}, issue = {5}, journal = {Journal of Electronic Materials}, keywords = {Thermoelectric,double doping,hot pressing,mechanical alloying,tetrahedrite}, month = {5}, pages = {2768-2774}, publisher = {Springer}, title = {Effects of Zn/Bi Double Doping on the Charge Transport and Thermoelectric Properties of Tetrahedrites Cu12−xZnxSb4−yBiyS13}, volume = {49}, year = {2020} }"
Lee 2020,Cu11.6Zn0.4Sb3.8Bi0.2S13,Bi+Zn,11.6,0.33,0.45,450.0,,255.0,253.0,0.54,0.56,0.57,0.58,1.42e+18,MA steel jar 350rpm 24h,HP 723K 70MPa 2h,HP,723.0,,99.0,,,,,"@article{Lee2020, abstract = {Synthetic tetrahedrite (Cu12Sb4S13) is considered a promising p-type thermoelectric material owing to its intrinsically low thermal conductivity, relative nontoxicity, and presence of light elements Cu and S. Since Cu12Sb4S13 has a high carrier (hole) concentration, its power factor can be optimized by decreasing the carrier concentration via doping. In this study, Zn doping is performed to optimize the power factor by reducing the carrier concentration, and Bi doping is performed to reduce the lattice thermal conductivity through additional phonon scattering by atomic mass fluctuation and lattice distortion. Cu12−xZnxSb4−ySbyS13 tetrahedrites (0.1 ≤ x ≤ 0.4 and 0.1 ≤ y ≤ 0.4) were prepared using mechanical alloying and hot pressing, and the effects of double doping of Zn and Bi on the charge transport and thermoelectric properties were examined. X-ray diffraction analysis revealed the successful formation of the tetrahedrite phase, but a small amount of skinnerite phase (Cu3SbS3) was produced with an increase in the Bi content. The lattice constant increased with an increase in Zn and Bi doping contents, as the ionic radii of Zn and Bi were larger than those of Cu and Sb, respectively. With an increase in the Zn content and a decrease in the Bi content, the carrier concentration decreased. Consequently, the electrical conductivity decreased, whereas the Seebeck coefficient increased. The decline in the electrical conductivity with Zn doping dominated the increase in the Seebeck coefficient, which in turn reduced the power factor. However, the power factor did not change significantly with a change in the Bi content. The lattice thermal conductivity was close to the theoretical minimum value in tetrahedrite upon substituting with Zn and Bi, and thus, the thermal conductivities of all the specimens were less than 0.94 Wm−1 K−1 at temperatures ranging from 323 to 723 K. Consequently, the dimensionless figure of merit, ZT = 0.77, was obtained for Cu11.9Zn0.1Sb3.9Bi0.1S13 at 723 K, which was attributed to a relatively high power factor (0.83 mWm−1 K−2) and low thermal conductivity (0.76 Wm−1 K−1).}, author = {Go Eun Lee and Il Ho Kim}, doi = {10.1007/s11664-019-07717-2}, issn = {1543186X}, issue = {5}, journal = {Journal of Electronic Materials}, keywords = {Thermoelectric,double doping,hot pressing,mechanical alloying,tetrahedrite}, month = {5}, pages = {2768-2774}, publisher = {Springer}, title = {Effects of Zn/Bi Double Doping on the Charge Transport and Thermoelectric Properties of Tetrahedrites Cu12−xZnxSb4−yBiyS13}, volume = {49}, year = {2020} }"
